*출처: 대학원과정_2026학년도 봄학기 입학 1차 대학원 모집요강.pdf (p22-23),Unnamed: 1,Unnamed: 2,Unnamed: 3,office_id,source,source_page,missing_fields
학과/프로그램,전화번호,웹사이트,건물 위치,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
물리학과,042)350-2502~4,https://physics.kaist.ac.kr,자연과학동(E6-2) 1301호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
수리과학과,042)350-2703,http://mathsci.kaist.ac.kr,자연과학동(E6-1) 2401호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
화학과,042)350-2802~4,https://chem.kaist.ac.kr,자연과학동(E6-4) 2122호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
양자대학원,042)350-4433,https://quantum.kaist.ac.kr,홍&박 KI빌딩(E4) C308호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
생명과학과,042)350-2603,https://bio.kaist.ac.kr,자연과학동(E6-3) 1204호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
의과학대학원,042)350-0202~4,https://gsmse.kaist.ac.kr,문지캠퍼스(연구동) R104호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
뇌인지과학과,042)350-6502~4,https://bcs.kaist.ac.kr,홍&박 KI빌딩(E4) C312호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
공학생물학대학원,042)350-4402,https://eb.kaist.ac.kr,홍&박 KI빌딩(E4) C302호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
줄기세포및재생생물학대학원,042)350-8433,https://scrb.kaist.ac.kr,기초과학동(E6-6) 511호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
기계공학과,042)350-3002~5,http://me.kaist.ac.kr,기계공학동(N7) 1120호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
해양시스템대학원,042)350-3002,http://me.kaist.ac.kr,기계공학동(N7) 1120호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
항공우주공학과,042)350-3708,https://ae.kaist.ac.kr,기계공학동(N7-2) 2301호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
우주탐사공학학제전공,042)350-3708,https://ae.kaist.ac.kr,기계공학동(N7-2) 2301호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
전기및전자공학부,042)350-3402,https://ee.kaist.ac.kr,정보전자공학동(E3-2) 1212호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
로봇공학학제전공,042)350-5976,https://robots.kaist.ac.kr,홍&박 KI빌딩(E4) C324호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
미래자동차학제전공,042)350-8461,https://fv.kaist.ac.kr,IT 김병호 융합센터(N1) 328호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
반도체공학대학원,042)350-8505,https://semicon.kaist.ac.kr,정보전자공학동(E3-2) 1210호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
인공지능반도체대학원,042)350-8503,https://aisemi.kaist.ac.kr,정보전자공학동(E3-2) 1210호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
전산학부,042)350-3502~8,https://cs.kaist.ac.kr,정보전자공학동(E3-1) 1402호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
정보보호대학원,042)350-8302~3,https://gsis.kaist.ac.kr,IT 김병호 융합센터(N1) 426호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
건설및환경공학과,042)350-3602~5,https://cee.kaist.ac.kr,스마트도시센터(W15) 212호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
환경에너지공학학제전공,042)350-3602,https://cee.kaist.ac.kr,스마트도시센터(W15) 212호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
바이오및뇌공학과,042)350-4303,https://bioeng.kaist.ac.kr,양분순빌딩(E16-1) 202호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
뇌인지공학프로그램,042)350-4303,https://bce.kaist.ac.kr,양분순빌딩(E16-1) 202호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
산업디자인학과,042)350-4503,http://id.kaist.ac.kr,산업디자인동(N25) 329호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
산업및시스템공학과,042)350-3102~4,https://ie.kaist.ac.kr,산업경영동(E2-2) 2126호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
데이터사이언스대학원,"042)350-3103, 3106",https://gsds.kaist.ac.kr,산업경영동(E2-2) 2126호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
생명화학공학과,042)350-3902~4,https://cbe.kaist.ac.kr,응용공학동(W1-3) 2102호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
신소재공학과,042)350-3302~5,https://mse.kaist.ac.kr,응용공학동(W1-1) 2408호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
원자력및양자공학과,042)350-3802~5,https://nuclear.kaist.ac.kr,기계공학동(N7-1) 2405호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
조천식모빌리티대학원,042)350-1252~3,https://mo.kaist.ac.kr,문지캠퍼스(학부동) F303호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
김재철AI대학원,02)958-3904,http://gsai.kaist.ac.kr,9호관 5층 9513호(서울캠퍼스),34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
KAIST-KIST-AI로봇대학원프로그램,02)958-3904,추후 개설 예정,9호관 5층 9513호(서울캠퍼스),34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
녹색성장지속가능대학원,042)350-4162,https://gggs.kaist.ac.kr,융합연구동(N5) 2129호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
메타버스대학원,042)350-8432,https://meta.kaist.ac.kr,산업디자인동(N25동) 3241호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
시스템아키텍트대학원,042)350-1102,https://gssa.kaist.ac.kr,나노종합기술원(E19동) S-112호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
디지털인문사회과학부,042)350-4604,https://ghss.kaist.ac.kr,인문사회과학동(N4) 1203호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
문화기술대학원,042)350-2903,https://ct.kaist.ac.kr,산업디자인동(N25동) 3241호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
과학기술정책대학원,042)350-4843,https://stp.kaist.ac.kr,인문사회과학동(N4) 1227호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
경영공학부,02)958-3604,https://www.business.kaist.ac.kr,수펙스경영관 4층 464호(서울캠퍼스),34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
기술경영학부,"042)350-6308,6301~3",https://btm.kaist.ac.kr,동문창업관(N22) 302호,34bd729596bd134e,KAIST 공식홈페이지 조사,https://www.kaist.ac.kr/kr/,
